X,Y (bin value)
0.101,110
0.207,58
0.313,48
0.419,32
0.525,22
0.631,16
0.737,9
0.843,10
0.949,7
1.055,5
1.161,4
1.268,3
1.374,1
1.480,3
1.586,1
1.692,1
1.798,0
1.904,0
2.010,2
,
,
,
,
,
,
