 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,Stack:2,0.284,255,0.342,0.392,1.132,100,2,0.000,0.816,35.218,0.568
2,Stack:2,0.791,255,6.569,1.048,3.129,100,2,5.279,0.000,139.939,0.659
3,Stack:2,0.198,255,9.491,0.307,0.816,100,2,9.197,0.000,126.870,0.365
4,Stack:2,0.320,255,11.192,0.603,1.465,100,2,10.884,1.252,58.671,0.561
5,Stack:2,0.157,255,12.376,0.338,1.404,100,2,11.755,0.816,35.538,0.257
6,Stack:2,1.220,255,18.718,2.278,6.446,100,2,16.599,0.000,130.549,0.623
7,Stack:2,0.116,255,21.439,0.223,0.809,100,2,21.116,0.000,137.726,0.231
8,Stack:2,0.586,255,24.078,0.616,1.547,100,2,23.619,0.163,129.289,0.829
9,Stack:2,0.267,255,25.608,0.445,1.208,100,2,25.197,0.000,125.838,0.343
10,Stack:2,0.349,255,27.019,0.532,1.424,100,2,26.503,0.000,133.452,0.419
11,Stack:2,0.607,255,2.546,1.020,1.557,100,2,2.014,1.524,36.469,0.578
12,Stack:2,0.284,255,14.127,1.126,1.429,100,2,13.660,0.653,130.365,0.318
13,Stack:2,1.564,255,17.231,3.536,5.802,100,2,15.238,0.762,126.225,0.915
14,Stack:2,0.726,255,5.621,1.785,2.929,100,2,4.789,0.816,131.987,0.462
15,Stack:2,0.252,255,9.470,1.299,0.981,100,2,9.252,0.816,109.440,0.490
16,Stack:2,0.592,255,1.325,1.513,1.494,100,2,0.816,0.980,123.111,0.665
17,Stack:2,0.974,255,21.893,2.480,3.774,100,2,20.571,1.143,132.663,0.760
18,Stack:2,0.213,255,12.937,1.515,0.779,100,2,12.844,1.197,114.775,0.545
19,Stack:2,1.712,255,11.398,4.450,6.622,100,2,10.068,1.306,115.301,0.937
20,Stack:2,0.900,255,26.858,3.004,3.651,100,2,26.068,1.361,116.565,0.448
21,Stack:2,0.175,255,11.554,1.972,1.027,100,2,11.156,2.177,32.005,0.320
22,Stack:2,0.184,255,14.007,2.209,0.952,100,2,13.769,1.796,120.964,0.387
23,Stack:2,0.355,255,3.288,2.302,1.316,100,2,2.830,2.721,29.745,0.820
24,Stack:2,0.675,255,12.697,2.688,2.156,100,2,12.027,3.646,47.045,0.789
25,Stack:2,0.166,255,15.266,2.600,0.886,100,2,14.966,2.286,132.510,0.302
26,Stack:2,0.151,255,26.014,2.881,1.199,100,2,25.633,2.449,129.472,0.219
27,Stack:2,0.580,255,24.829,3.630,2.849,100,2,23.782,2.667,133.452,0.346
28,Stack:2,0.364,255,3.834,3.238,1.284,100,2,3.483,3.755,53.616,0.605
29,Stack:2,0.278,255,0.598,3.392,1.618,100,2,0.000,2.830,132.274,0.284
30,Stack:2,0.853,255,21.535,4.169,2.717,100,2,20.844,2.939,122.735,0.465
31,Stack:2,0.424,255,14.058,3.686,1.256,100,2,13.878,3.102,107.650,0.761
32,Stack:2,0.575,255,13.168,4.778,2.391,100,2,12.735,3.537,101.821,0.683
33,Stack:2,0.110,255,14.942,3.804,0.860,100,2,14.585,3.592,145.305,0.402
34,Stack:2,0.652,255,5.184,5.313,4.313,100,2,3.592,3.810,137.045,0.308
35,Stack:2,0.234,255,9.907,4.529,1.677,100,2,9.469,3.864,125.754,0.246
36,Stack:2,0.136,255,6.957,4.219,0.740,100,2,6.694,3.918,126.027,0.308
37,Stack:2,0.136,255,8.751,4.411,1.027,100,2,8.435,3.973,122.005,0.283
38,Stack:2,0.216,255,5.375,4.435,1.047,100,2,5.116,4.027,117.897,0.399
39,Stack:2,0.652,255,2.352,5.269,2.899,100,2,1.306,4.082,129.668,0.458
40,Stack:2,1.256,255,16.916,5.709,3.883,100,2,15.728,4.082,121.239,1.113
41,Stack:2,0.746,255,0.999,5.553,3.791,100,2,0.000,4.245,129.174,0.359
42,Stack:2,0.198,255,24.943,5.107,1.266,100,2,24.544,4.517,115.463,0.475
43,Stack:2,0.178,255,9.559,5.384,1.541,100,2,9.034,4.844,132.138,0.267
44,Stack:2,0.302,255,26.588,5.307,1.012,100,2,26.177,5.497,36.254,0.649
45,Stack:2,0.349,255,23.796,5.612,1.243,100,2,23.565,4.952,113.199,0.461
46,Stack:2,0.172,255,7.761,5.713,1.122,100,2,7.456,5.333,129.094,0.283
47,Stack:2,0.335,255,23.084,6.029,1.102,100,2,22.912,5.497,122.905,0.480
48,Stack:2,0.249,255,7.293,6.016,1.144,100,2,7.075,5.551,115.346,0.369
49,Stack:2,0.101,255,0.269,5.870,0.608,100,2,0.000,6.095,26.565,0.362
50,Stack:2,0.299,255,14.656,6.125,1.165,100,2,14.313,6.585,37.405,0.529
51,Stack:2,1.197,255,25.009,7.072,3.069,100,2,24.000,8.435,52.927,0.943
52,Stack:2,0.566,255,11.136,7.076,2.592,100,2,10.231,5.878,129.036,0.617
53,Stack:2,0.338,255,19.926,6.287,1.172,100,2,19.429,6.095,158.199,0.542
54,Stack:2,0.213,255,4.695,6.814,1.470,100,2,4.299,6.313,128.991,0.269
55,Stack:2,0.403,255,14.710,6.975,1.708,100,2,14.367,7.891,67.521,0.495
56,Stack:2,0.252,255,22.523,7.046,1.234,100,2,22.150,6.476,138.576,0.479
57,Stack:2,0.231,255,23.847,6.937,1.154,100,2,23.456,7.347,45.000,0.346
58,Stack:2,0.157,255,0.346,6.868,0.732,100,2,0.109,6.639,131.987,0.346
59,Stack:2,0.474,255,16.723,7.902,3.171,100,2,15.782,6.694,129.428,0.306
60,Stack:2,0.903,255,19.407,7.985,2.134,100,2,18.939,8.925,70.641,0.861
61,Stack:2,0.293,255,21.045,7.237,1.047,100,2,20.571,7.020,152.103,0.418
62,Stack:2,0.477,255,26.262,7.648,1.549,100,2,25.959,8.435,71.565,0.599
63,Stack:2,0.246,255,18.302,7.386,0.952,100,2,17.959,7.673,30.964,0.414
64,Stack:2,0.160,255,27.503,7.319,0.852,100,2,27.102,7.184,153.435,0.397
65,Stack:2,0.355,255,4.166,7.923,1.395,100,2,3.918,7.293,110.556,0.573
66,Stack:2,0.589,255,27.338,8.385,1.509,100,2,27.156,9.088,64.359,0.698
67,Stack:2,0.841,255,3.562,9.106,3.494,100,2,2.503,7.837,127.405,0.361
68,Stack:2,0.145,255,9.379,8.305,0.886,100,2,9.034,7.946,132.510,0.269
69,Stack:2,0.184,255,15.680,8.326,0.707,100,2,15.619,7.946,112.620,0.381
70,Stack:2,0.370,255,10.164,8.891,2.025,100,2,9.796,8.054,120.700,0.481
71,Stack:2,0.740,255,25.503,8.962,2.194,100,2,24.871,8.054,119.745,0.941
72,Stack:2,0.145,255,22.054,8.418,1.040,100,2,21.714,8.109,132.879,0.269
73,Stack:2,0.628,255,12.323,9.479,3.390,100,2,11.102,8.218,132.397,0.590
74,Stack:2,0.104,255,14.284,8.550,0.785,100,2,14.041,8.218,123.690,0.219
75,Stack:2,0.435,255,0.518,9.096,1.677,100,2,0.000,8.435,125.754,0.454
76,Stack:2,0.118,255,1.909,8.846,0.792,100,2,1.796,8.490,105.945,0.218
77,Stack:2,0.172,255,5.631,8.859,0.893,100,2,5.279,8.599,142.431,0.269
78,Stack:2,0.717,255,23.629,9.811,3.265,100,2,22.748,8.544,126.870,0.342
79,Stack:2,0.847,255,6.544,9.732,2.892,100,2,5.116,10.068,19.799,0.942
80,Stack:2,0.133,255,8.765,9.120,1.040,100,2,8.381,8.762,137.121,0.192
81,Stack:2,1.653,255,16.422,12.358,8.087,100,2,13.769,8.816,126.793,0.640
82,Stack:2,0.400,255,18.822,9.555,1.478,100,2,18.667,8.871,96.340,0.507
83,Stack:2,0.456,255,16.472,9.808,1.809,100,2,15.946,9.361,133.781,0.616
84,Stack:2,0.323,255,3.722,10.278,1.917,100,2,3.102,9.524,124.592,0.311
85,Stack:2,0.723,255,7.578,10.397,2.253,100,2,6.639,10.993,37.147,0.566
86,Stack:2,0.127,255,17.903,10.024,0.927,100,2,17.578,9.687,139.764,0.299
87,Stack:2,0.951,255,22.252,11.018,4.272,100,2,20.735,9.633,134.484,0.551
88,Stack:2,0.477,255,23.719,10.953,2.898,100,2,22.912,9.687,124.287,0.356
89,Stack:2,0.193,255,2.494,10.038,0.939,100,2,2.014,10.231,10.008,0.460
90,Stack:2,0.652,255,27.334,10.370,1.809,100,2,26.612,9.796,133.781,0.712
91,Stack:2,0.118,255,19.312,10.260,0.589,100,2,19.156,9.959,123.690,0.420
92,Stack:2,0.107,255,20.454,10.271,0.756,100,2,20.136,10.122,149.744,0.268
93,Stack:2,0.370,255,11.614,10.848,1.753,100,2,11.156,10.177,126.158,0.366
94,Stack:2,0.711,255,8.572,11.112,2.579,100,2,7.673,12.136,45.855,0.616
95,Stack:2,0.551,255,0.750,11.154,2.043,100,2,0.000,11.918,41.760,0.945
96,Stack:2,1.084,255,1.961,12.593,5.171,100,2,0.000,14.476,49.268,0.715
