 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
243,Along the build_20.tif,9.265,15.717,0.762,0.871,0.237,0.950,2.436,0.502,0.347,2.882,0.699,1.003,2.247,0.589,0.357,60.419,20400.000,130.601,0.447,8.816,15.401,9.265,15.717,8.816,15.293,0.932,0.324,128.993,165.000,281.000
244,Along the build_20.tif,38.986,15.618,0.925,0.544,0.258,0.786,2.333,0.595,0.352,2.843,0.845,1.001,2.520,0.593,0.512,65.706,22185.000,22.380,0.397,38.476,15.837,38.986,15.618,38.476,15.293,0.966,0.340,25.128,720.000,281.000
245,Along the build_20.tif,5.538,16.626,3.102,2.830,1.117,0.992,9.156,0.167,0.085,11.727,0.547,4.091,7.074,0.292,0.127,284.726,96135.000,139.316,0.578,3.973,15.401,5.538,16.626,3.973,15.347,4.083,0.348,137.389,74.000,282.000
246,Along the build_20.tif,35.417,15.746,0.544,0.653,0.124,0.896,1.866,0.449,0.230,4.354,0.730,0.850,3.062,0.479,0.350,31.720,10710.000,129.806,0.278,35.156,15.456,35.417,15.746,35.156,15.456,0.830,0.191,126.873,646.000,284.000
247,Along the build_20.tif,42.604,15.816,0.871,0.707,0.184,0.989,2.763,0.302,0.268,3.736,0.620,1.080,2.975,0.517,0.298,46.825,15810.000,40.914,0.363,42.231,16.163,42.604,15.816,42.177,15.456,0.935,0.250,36.826,789.000,284.000
248,Along the build_20.tif,21.998,16.085,0.707,1.197,0.281,1.149,3.121,0.363,0.247,4.053,0.648,1.364,3.109,0.497,0.332,71.748,24225.000,118.610,0.439,21.660,15.565,21.998,16.085,21.605,15.565,1.205,0.297,113.420,398.000,286.000
249,Along the build_20.tif,41.038,15.975,0.599,0.599,0.160,1.130,2.038,0.484,0.735,1.360,0.692,0.710,1.401,0.857,0.446,40.783,13770.000,122.471,0.507,40.925,15.565,41.038,15.975,40.762,15.565,0.526,0.387,126.568,752.000,286.000
250,Along the build_20.tif,23.592,15.969,1.034,0.544,0.166,1.598,2.885,0.250,0.500,2.000,0.467,1.040,1.910,0.707,0.295,42.293,14280.000,173.991,0.544,23.020,16.109,23.592,15.969,23.020,15.673,0.650,0.325,4.039,434.000,288.000
251,Along the build_20.tif,35.129,16.595,1.306,1.633,0.394,0.896,4.565,0.238,0.150,6.667,0.556,2.025,4.241,0.387,0.185,100.447,33915.000,126.254,0.477,34.612,15.673,35.129,16.595,34.503,15.673,1.829,0.274,133.041,636.000,288.000
252,Along the build_20.tif,1.359,16.576,2.014,1.796,0.909,1.621,6.404,0.279,0.196,5.112,0.640,2.627,3.792,0.442,0.251,231.859,78285.000,39.958,0.693,0.381,17.524,1.359,16.576,0.381,15.728,2.433,0.476,44.735,32.000,289.000
253,Along the build_20.tif,53.648,15.978,0.435,0.490,0.145,1.101,1.468,0.846,0.816,1.226,0.875,0.544,1.250,0.903,0.681,37.007,12495.000,36.870,0.435,53.388,16.054,53.648,15.978,53.388,15.728,0.476,0.388,57.416,986.000,289.000
254,Along the build_20.tif,12.482,16.433,1.306,1.197,0.506,0.872,4.071,0.384,0.291,3.441,0.667,1.633,2.799,0.539,0.324,129.146,43605.000,143.130,0.583,11.864,15.946,12.482,16.433,11.864,15.782,1.490,0.433,134.767,224.000,290.000
255,Along the build_20.tif,14.340,16.058,0.490,0.544,0.121,1.496,1.757,0.494,0.454,2.204,0.701,0.655,1.892,0.674,0.456,30.965,10455.000,131.634,0.346,14.095,15.782,14.340,16.058,14.095,15.782,0.584,0.265,129.892,259.000,290.000
256,Along the build_20.tif,15.832,16.169,0.871,0.762,0.287,1.273,2.468,0.593,0.301,3.324,0.855,1.122,2.915,0.548,0.433,73.258,24735.000,39.094,0.385,15.401,16.544,15.832,16.169,15.401,15.837,1.103,0.332,41.455,292.000,291.000
257,Along the build_20.tif,29.602,16.846,2.286,1.905,0.909,1.089,6.699,0.255,0.152,6.572,0.570,2.780,4.146,0.390,0.209,231.859,78285.000,40.236,0.671,28.517,17.633,29.602,16.846,28.517,15.837,2.758,0.420,40.225,560.000,291.000
258,Along the build_20.tif,28.498,16.223,0.653,0.653,0.142,1.144,1.911,0.489,0.237,4.216,0.814,0.886,3.837,0.487,0.333,36.252,12240.000,42.510,0.231,28.136,16.490,28.498,16.223,28.136,15.891,0.874,0.207,44.393,527.000,292.000
259,Along the build_20.tif,46.849,16.397,0.816,0.980,0.509,1.334,2.795,0.820,0.755,1.324,0.866,1.003,1.270,0.869,0.637,129.901,43860.000,77.471,0.790,46.694,16.871,46.849,16.397,46.422,15.891,0.927,0.700,86.721,858.000,292.000
260,Along the build_20.tif,49.159,16.220,0.272,0.707,0.118,0.836,1.731,0.497,0.351,2.850,0.784,0.726,2.668,0.592,0.615,30.210,10200.000,102.995,0.272,49.034,15.891,49.159,16.220,49.034,15.891,0.656,0.230,92.647,901.000,292.000
261,Along the build_20.tif,19.909,16.470,0.544,1.034,0.207,1.367,2.808,0.330,0.379,2.641,0.567,1.057,2.208,0.615,0.368,52.867,17850.000,101.889,0.479,19.973,15.946,19.909,16.470,19.646,15.946,0.835,0.316,105.508,367.000,293.000
262,Along the build_20.tif,39.585,16.127,0.381,0.381,0.113,0.786,1.237,0.924,0.630,1.587,0.916,0.539,1.580,0.794,0.776,28.699,9690.000,45.000,0.341,39.401,16.327,39.585,16.127,39.401,15.946,0.477,0.301,40.596,727.000,293.000
263,Along the build_20.tif,4.756,17.236,2.558,2.449,0.850,0.992,7.508,0.189,0.089,11.186,0.601,3.504,6.359,0.299,0.136,216.754,73185.000,136.888,0.551,3.320,16.000,4.756,17.236,3.320,16.000,3.479,0.311,139.176,61.000,294.000
264,Along the build_20.tif,32.311,16.463,0.599,0.925,0.166,0.984,2.346,0.379,0.171,5.840,0.713,1.102,4.281,0.414,0.299,42.293,14280.000,122.905,0.257,32.000,16.000,32.311,16.463,32.000,16.000,1.111,0.190,120.587,588.000,294.000
265,Along the build_20.tif,37.584,16.566,1.034,1.306,0.477,0.930,3.936,0.387,0.376,2.658,0.596,1.470,2.092,0.613,0.353,121.594,41055.000,51.009,0.703,37.224,17.252,37.584,16.566,37.170,16.054,1.270,0.478,54.101,695.000,295.000
266,Along the build_20.tif,41.049,17.105,1.578,1.741,0.498,1.130,6.001,0.174,0.333,3.005,0.350,2.156,2.161,0.577,0.181,126.880,42840.000,42.955,0.998,40.435,17.578,41.049,17.105,40.435,16.109,1.380,0.459,55.120,766.000,296.000
267,Along the build_20.tif,8.797,16.543,0.762,0.762,0.207,0.950,2.686,0.361,0.374,2.675,0.648,0.969,2.126,0.611,0.357,52.867,17850.000,128.157,0.456,8.544,16.163,8.797,16.543,8.381,16.163,0.840,0.314,133.208,157.000,297.000
268,Along the build_20.tif,24.650,17.351,2.449,2.395,0.634,0.995,7.317,0.149,0.075,13.268,0.560,3.310,8.411,0.275,0.108,161.622,54570.000,133.668,0.394,23.456,16.163,24.650,17.351,23.401,16.163,3.272,0.247,136.069,431.000,297.000
269,Along the build_20.tif,16.074,17.418,2.231,2.231,1.333,1.273,8.024,0.260,0.391,2.561,0.462,2.601,1.595,0.625,0.268,339.858,114750.000,52.651,1.631,15.619,18.340,16.074,17.418,15.020,16.218,2.085,0.814,44.350,307.000,298.000
270,Along the build_20.tif,43.142,16.706,0.980,0.816,0.480,1.040,2.967,0.685,0.607,1.647,0.853,1.177,1.695,0.779,0.600,122.349,41310.000,146.310,0.695,42.612,16.381,43.142,16.706,42.612,16.327,1.003,0.609,128.062,787.000,300.000
271,Along the build_20.tif,26.453,17.232,1.306,1.306,0.264,1.341,4.193,0.188,0.210,4.759,0.480,1.847,3.803,0.458,0.155,67.216,22695.000,135.000,0.486,25.741,16.435,26.453,17.232,25.741,16.435,1.264,0.266,133.230,473.000,302.000
272,Along the build_20.tif,54.448,16.735,0.435,0.653,0.154,0.992,1.699,0.671,0.382,2.620,0.800,0.730,2.142,0.618,0.542,39.273,13260.000,116.565,0.341,54.259,16.435,54.448,16.735,54.204,16.435,0.717,0.274,115.529,997.000,302.000
273,Along the build_20.tif,11.801,16.978,0.925,0.925,0.216,0.872,2.712,0.369,0.163,6.152,0.685,1.234,4.443,0.403,0.253,55.133,18615.000,131.424,0.278,11.429,16.490,11.801,16.978,11.374,16.490,1.301,0.212,133.383,210.000,303.000
274,Along the build_20.tif,21.203,16.914,0.816,0.816,0.338,1.149,2.545,0.655,0.479,2.087,0.832,1.012,1.879,0.692,0.507,86.097,29070.000,36.254,0.539,20.789,17.143,21.203,16.914,20.789,16.490,0.947,0.454,50.035,394.000,303.000
275,Along the build_20.tif,7.772,16.881,0.381,0.707,0.213,1.078,1.762,0.863,0.576,1.738,0.923,0.726,1.906,0.759,0.791,54.377,18360.000,77.005,0.381,7.728,17.252,7.772,16.881,7.565,16.544,0.687,0.395,90.271,142.000,304.000
276,Along the build_20.tif,48.772,17.120,1.306,1.306,0.240,0.980,3.835,0.205,0.114,8.791,0.640,1.847,6.857,0.337,0.141,61.175,20655.000,135.000,0.269,48.163,16.544,48.772,17.120,48.163,16.544,1.639,0.186,131.778,885.000,304.000
277,Along the build_20.tif,18.574,17.014,0.544,0.653,0.166,1.314,1.821,0.629,0.369,2.710,0.830,0.816,2.357,0.607,0.467,42.293,14280.000,126.870,0.346,18.340,16.707,18.574,17.014,18.340,16.707,0.757,0.279,129.257,337.000,307.000
278,Along the build_20.tif,51.906,17.210,1.197,0.762,0.432,1.213,2.994,0.606,0.336,2.979,0.839,1.315,2.657,0.579,0.474,110.265,37230.000,24.444,0.495,51.320,17.469,51.906,17.210,51.320,16.871,1.281,0.430,28.757,955.000,310.000
279,Along the build_20.tif,27.789,17.121,0.762,0.327,0.139,1.053,1.839,0.517,0.323,3.096,0.712,0.809,2.660,0.568,0.560,35.496,11985.000,19.654,0.304,27.374,17.306,27.789,17.121,27.374,16.980,0.741,0.239,5.800,509.000,312.000
280,Along the build_20.tif,53.594,17.240,0.707,0.381,0.142,0.992,1.776,0.567,0.423,2.366,0.762,0.740,2.166,0.650,0.527,36.252,12240.000,162.897,0.342,53.279,17.197,53.594,17.240,53.279,17.034,0.654,0.277,169.036,982.000,313.000
281,Along the build_20.tif,30.487,17.480,0.980,0.707,0.272,1.089,2.609,0.503,0.372,2.689,0.724,1.121,2.314,0.610,0.393,69.482,23460.000,29.055,0.484,30.041,17.850,30.487,17.480,30.041,17.197,0.966,0.359,31.764,559.000,316.000
282,Along the build_20.tif,37.890,17.443,0.490,0.490,0.145,0.812,1.481,0.831,0.762,1.312,0.831,0.560,1.252,0.873,0.605,37.007,12495.000,29.055,0.448,37.660,17.633,37.890,17.443,37.660,17.197,0.492,0.375,48.741,694.000,316.000
283,Along the build_20.tif,47.413,17.606,0.871,0.762,0.296,1.238,2.622,0.541,0.513,1.950,0.746,1.012,1.820,0.716,0.446,75.524,25500.000,36.254,0.556,46.912,17.850,47.413,17.606,46.912,17.197,0.858,0.440,39.051,874.000,316.000
284,Along the build_20.tif,45.652,17.657,0.707,0.816,0.240,1.460,2.609,0.443,0.563,1.778,0.686,0.981,1.857,0.750,0.415,61.175,20655.000,123.690,0.528,45.497,17.306,45.652,17.657,45.333,17.306,0.737,0.415,127.084,836.000,318.000
285,Along the build_20.tif,35.931,17.821,0.707,1.034,0.338,1.466,2.686,0.588,0.387,2.587,0.820,1.168,2.211,0.622,0.462,86.097,29070.000,62.241,0.529,35.592,18.395,35.931,17.821,35.537,17.361,1.055,0.408,59.452,661.000,319.000
286,Along the build_20.tif,24.330,18.294,1.796,1.796,0.503,0.995,5.348,0.221,0.098,10.242,0.638,2.464,6.306,0.312,0.156,128.391,43350.000,133.210,0.391,23.456,17.415,24.330,18.294,23.401,17.415,2.562,0.250,138.047,431.000,320.000
287,Along the build_20.tif,42.036,17.787,0.707,0.816,0.293,1.200,2.487,0.596,0.367,2.723,0.818,1.045,2.307,0.606,0.508,74.769,25245.000,128.660,0.453,41.687,17.415,42.036,17.787,41.687,17.415,1.008,0.370,121.870,766.000,320.000
288,Along the build_20.tif,19.468,17.977,0.653,0.871,0.344,1.314,2.442,0.724,0.715,1.399,0.869,0.925,1.421,0.846,0.604,87.608,29580.000,118.072,0.651,19.265,17.469,19.468,17.977,19.211,17.469,0.782,0.559,120.060,354.000,321.000
289,Along the build_20.tif,21.633,18.493,1.361,1.850,0.438,1.637,6.006,0.153,0.164,6.108,0.481,2.297,3.828,0.405,0.174,111.776,37740.000,126.327,0.600,21.007,17.469,21.633,18.493,21.007,17.469,1.846,0.302,124.072,386.000,321.000
290,Along the build_20.tif,2.400,17.818,1.034,0.653,0.358,0.844,2.609,0.662,0.442,2.262,0.843,1.069,1.910,0.665,0.531,91.384,30855.000,14.744,0.560,1.905,17.905,2.400,17.818,1.905,17.524,1.016,0.449,16.909,50.000,322.000
291,Along the build_20.tif,43.645,17.926,0.762,0.871,0.358,1.319,2.436,0.759,0.572,1.749,0.837,0.952,1.659,0.756,0.540,91.384,30855.000,59.036,0.574,43.483,18.395,43.645,17.926,43.265,17.524,0.893,0.511,53.049,803.000,322.000
292,Along the build_20.tif,54.813,17.783,0.381,0.490,0.116,1.110,1.359,0.786,0.463,2.161,0.848,0.589,1.864,0.680,0.619,29.454,9945.000,123.690,0.316,54.639,17.524,54.813,17.783,54.639,17.524,0.564,0.261,120.764,1004.000,322.000
293,Along the build_20.tif,10.028,18.312,1.197,1.415,0.429,0.737,4.135,0.316,0.197,5.082,0.586,1.785,3.365,0.444,0.253,109.510,36975.000,127.569,0.531,9.415,17.578,10.028,18.312,9.361,17.578,1.667,0.328,135.229,173.000,323.000
294,Along the build_20.tif,10.677,17.963,0.871,0.925,0.193,0.737,2.635,0.348,0.197,5.081,0.667,1.234,3.816,0.444,0.239,49.091,16575.000,131.424,0.323,10.340,17.578,10.677,17.963,10.286,17.578,1.116,0.220,130.875,190.000,323.000
295,Along the build_20.tif,33.878,18.607,1.687,1.850,0.705,1.411,6.572,0.205,0.356,2.807,0.542,2.297,2.513,0.597,0.226,179.747,60690.000,126.327,0.914,32.871,17.578,33.878,18.607,32.871,17.578,1.587,0.565,134.712,604.000,323.000
296,Along the build_20.tif,38.608,17.823,0.490,0.544,0.118,0.812,1.558,0.613,0.329,3.039,0.816,0.732,2.718,0.574,0.444,30.210,10200.000,48.013,0.269,38.367,18.122,38.608,17.823,38.367,17.578,0.677,0.223,50.687,711.000,323.000
297,Along the build_20.tif,51.427,18.325,1.197,1.361,0.432,1.213,3.872,0.362,0.175,5.712,0.758,1.812,3.991,0.418,0.265,110.265,37230.000,131.348,0.454,50.776,17.578,51.427,18.325,50.776,17.578,1.773,0.310,129.035,933.000,323.000
298,Along the build_20.tif,13.906,18.856,1.850,2.068,0.865,2.308,6.686,0.243,0.265,3.768,0.503,2.400,2.472,0.515,0.226,220.530,74460.000,122.969,0.971,13.061,17.959,13.906,18.856,13.007,17.905,2.037,0.541,126.008,246.000,329.000
299,Along the build_20.tif,8.599,19.148,2.776,2.395,1.161,1.277,11.797,0.105,0.425,2.355,0.315,3.236,1.958,0.652,0.175,296.054,99960.000,132.274,1.653,7.293,17.959,8.599,19.148,7.020,17.959,1.866,0.792,151.486,134.000,330.000
300,Along the build_20.tif,52.826,18.231,1.034,0.490,0.317,1.253,2.551,0.612,0.472,2.117,0.833,1.084,2.214,0.687,0.626,80.811,27285.000,162.474,0.490,52.299,18.122,52.826,18.231,52.299,18.014,0.924,0.437,168.909,965.000,331.000
301,Along the build_20.tif,2.962,18.447,0.816,0.599,0.258,0.844,2.269,0.629,0.676,1.479,0.795,0.832,1.466,0.822,0.527,65.706,22185.000,168.690,0.568,2.612,18.231,2.962,18.447,2.612,18.177,0.696,0.471,177.782,49.000,334.000
302,Along the build_20.tif,23.826,19.217,2.068,1.578,0.595,1.052,6.142,0.198,0.296,3.378,0.442,2.417,2.897,0.544,0.182,151.803,51255.000,148.815,0.835,22.803,18.231,23.826,19.217,22.803,18.231,1.600,0.474,146.142,419.000,335.000
303,Along the build_20.tif,40.991,18.819,0.925,1.143,0.370,1.213,3.641,0.351,0.405,2.468,0.636,1.374,2.272,0.637,0.350,94.405,31875.000,123.690,0.604,40.816,18.231,40.991,18.819,40.653,18.231,1.079,0.437,119.258,750.000,335.000
304,Along the build_20.tif,18.098,18.770,1.415,0.980,0.480,1.583,3.737,0.432,0.300,3.338,0.691,1.559,2.575,0.547,0.346,122.349,41310.000,29.249,0.606,17.524,19.211,18.098,18.770,17.469,18.286,1.428,0.428,31.867,334.000,336.000
305,Along the build_20.tif,44.723,18.783,0.980,1.034,0.441,1.378,3.148,0.560,0.376,2.662,0.801,1.284,2.475,0.613,0.436,112.531,37995.000,53.616,0.519,44.354,19.320,44.723,18.783,44.190,18.286,1.223,0.459,38.232,827.000,336.000
306,Along the build_20.tif,47.061,18.793,0.544,0.871,0.151,0.755,2.545,0.293,0.482,2.076,0.490,0.878,1.696,0.694,0.319,38.517,13005.000,82.875,0.517,46.912,19.211,47.061,18.793,46.803,18.340,0.632,0.304,81.402,863.000,337.000
307,Along the build_20.tif,29.351,18.645,0.707,0.544,0.187,0.978,1.943,0.621,0.402,2.490,0.792,0.804,2.213,0.634,0.485,47.580,16065.000,151.699,0.363,29.007,18.395,29.351,18.645,29.007,18.395,0.769,0.309,147.689,533.000,338.000
308,Along the build_20.tif,31.900,18.650,0.653,0.544,0.190,0.960,1.853,0.694,0.496,2.015,0.831,0.785,1.854,0.704,0.533,48.335,16320.000,146.310,0.423,31.565,18.503,31.900,18.650,31.565,18.395,0.697,0.346,145.871,585.000,338.000
309,Along the build_20.tif,31.046,19.091,1.143,1.197,0.284,0.960,3.450,0.300,0.158,6.337,0.604,1.480,3.848,0.397,0.208,72.503,24480.000,126.027,0.385,30.639,18.503,31.046,19.091,30.476,18.503,1.515,0.239,132.701,563.000,340.000
310,Along the build_20.tif,43.202,19.933,1.415,2.830,0.891,1.503,7.050,0.225,0.106,9.446,0.696,3.117,6.815,0.325,0.223,227.328,76755.000,114.775,0.457,42.558,18.558,43.202,19.933,42.503,18.558,3.274,0.347,113.337,782.000,341.000
311,Along the build_20.tif,0.874,19.441,0.980,1.796,0.666,2.030,5.096,0.322,0.320,3.128,0.629,1.930,2.803,0.565,0.379,169.929,57375.000,111.501,0.689,0.707,18.612,0.874,19.441,0.490,18.612,1.629,0.521,105.030,13.000,342.000
312,Along the build_20.tif,27.168,19.470,0.871,1.415,0.246,1.427,3.687,0.227,0.141,7.076,0.514,1.558,3.932,0.376,0.200,62.685,21165.000,114.775,0.396,26.939,18.721,27.168,19.470,26.721,18.721,1.488,0.210,123.914,495.000,344.000
313,Along the build_20.tif,28.609,19.282,0.653,0.653,0.139,0.933,1.911,0.479,0.210,4.772,0.797,0.924,4.000,0.458,0.326,35.496,11985.000,135.000,0.231,28.299,18.939,28.609,19.282,28.299,18.939,0.920,0.193,135.000,520.000,348.000
314,Along the build_20.tif,4.029,19.328,0.871,0.707,0.243,1.384,2.359,0.548,0.303,3.306,0.796,1.057,2.718,0.550,0.394,61.930,20910.000,145.491,0.389,3.537,18.993,4.029,19.328,3.537,18.993,1.011,0.306,143.526,65.000,349.000
315,Along the build_20.tif,47.620,19.301,0.272,0.653,0.110,0.755,1.731,0.460,0.414,2.416,0.740,0.662,2.433,0.643,0.617,27.944,9435.000,80.538,0.272,47.565,19.646,47.620,19.301,47.456,18.993,0.581,0.240,88.670,875.000,349.000
316,Along the build_20.tif,38.178,19.275,0.435,0.381,0.127,1.131,1.282,0.974,0.769,1.300,0.896,0.513,1.348,0.877,0.768,32.475,10965.000,32.005,0.381,37.986,19.429,38.178,19.275,37.986,19.102,0.459,0.353,27.393,699.000,351.000
317,Along the build_20.tif,46.463,19.379,0.816,0.653,0.139,0.838,2.142,0.381,0.245,4.084,0.614,0.981,3.095,0.495,0.261,35.496,11985.000,146.310,0.317,46.095,19.211,46.463,19.379,46.095,19.102,0.851,0.208,144.812,849.000,351.000
318,Along the build_20.tif,51.759,19.618,0.544,0.871,0.219,0.708,2.410,0.474,0.478,2.090,0.725,0.974,1.931,0.692,0.463,55.888,18870.000,116.565,0.504,51.592,19.102,51.759,19.618,51.483,19.102,0.764,0.365,113.822,948.000,351.000
319,Along the build_20.tif,11.790,20.133,2.993,2.449,0.660,1.737,8.437,0.117,0.101,9.939,0.332,3.607,5.658,0.317,0.090,168.419,56865.000,33.930,0.638,10.177,21.551,11.790,20.133,10.177,19.156,2.891,0.291,37.207,234.000,352.000
320,Along the build_20.tif,19.494,19.599,0.327,0.490,0.121,0.851,1.314,0.884,0.683,1.464,0.901,0.516,1.581,0.826,0.759,30.965,10455.000,71.565,0.327,19.374,19.810,19.494,19.599,19.320,19.320,0.476,0.325,77.833,358.000,355.000
321,Along the build_20.tif,51.135,19.953,0.816,1.143,0.424,0.708,3.153,0.535,0.385,2.595,0.775,1.344,2.084,0.621,0.454,107.999,36465.000,121.759,0.645,50.721,19.320,51.135,19.953,50.721,19.320,1.183,0.456,124.424,932.000,355.000
322,Along the build_20.tif,16.132,19.643,0.653,0.544,0.210,1.367,1.884,0.744,0.687,1.455,0.830,0.707,1.374,0.829,0.592,53.622,18105.000,157.380,0.515,15.782,19.592,16.132,19.643,15.782,19.374,0.624,0.429,159.449,298.000,356.000
323,Along the build_20.tif,25.741,19.762,0.218,0.544,0.104,1.001,1.269,0.809,0.434,2.302,0.933,0.555,2.550,0.659,0.875,26.433,8925.000,101.310,0.218,25.687,19.483,25.741,19.762,25.633,19.483,0.551,0.239,90.707,472.000,358.000
324,Along the build_20.tif,39.649,19.920,0.871,0.816,0.278,1.013,2.513,0.554,0.350,2.855,0.734,1.057,2.456,0.592,0.392,70.993,23970.000,34.509,0.430,39.184,20.245,39.649,19.920,39.184,19.483,1.006,0.352,46.340,730.000,358.000
325,Along the build_20.tif,37.352,20.047,0.871,0.980,0.435,1.131,2.776,0.710,0.606,1.651,0.845,1.072,1.639,0.778,0.510,111.020,37485.000,66.038,0.654,37.061,20.517,37.352,20.047,36.952,19.537,0.957,0.579,57.158,687.000,359.000
326,Along the build_20.tif,2.663,20.402,0.925,1.796,0.634,1.737,5.552,0.258,0.426,2.346,0.526,1.825,2.059,0.653,0.381,161.622,54570.000,100.305,0.886,2.830,19.592,2.663,20.402,2.231,19.592,1.376,0.587,83.355,52.000,360.000
327,Along the build_20.tif,18.190,21.072,2.830,2.939,1.285,1.012,10.739,0.140,0.116,8.642,0.553,3.968,5.270,0.340,0.155,327.775,110670.000,132.221,0.753,16.925,19.592,18.190,21.072,16.816,19.592,3.761,0.435,133.986,311.000,360.000
328,Along the build_20.tif,19.367,20.440,1.252,1.524,0.412,0.851,4.193,0.294,0.135,7.407,0.715,1.905,5.353,0.367,0.216,104.978,35445.000,126.870,0.356,18.721,19.646,19.367,20.440,18.721,19.646,1.970,0.266,127.789,344.000,361.000
329,Along the build_20.tif,29.265,19.946,0.544,0.599,0.264,0.933,1.808,1.000,0.794,1.259,0.942,0.697,1.294,0.891,0.809,67.216,22695.000,38.660,0.539,29.007,20.190,29.265,19.946,29.007,19.646,0.650,0.516,54.776,536.000,361.000
330,Along the build_20.tif,34.412,19.913,0.544,0.435,0.104,0.872,1.558,0.537,0.545,1.833,0.700,0.568,1.503,0.739,0.438,26.433,8925.000,16.699,0.378,34.122,19.864,34.412,19.913,34.122,19.701,0.492,0.268,21.858,636.000,362.000
331,Along the build_20.tif,40.660,19.986,0.381,0.544,0.124,1.013,1.404,0.793,0.674,1.484,0.840,0.568,1.504,0.821,0.600,31.720,10710.000,73.301,0.378,40.544,20.245,40.660,19.986,40.490,19.701,0.485,0.327,67.472,747.000,362.000
332,Along the build_20.tif,45.380,20.128,0.816,0.871,0.373,0.815,2.609,0.689,0.484,2.065,0.832,1.027,1.779,0.696,0.525,95.160,32130.000,57.995,0.577,45.170,20.571,45.380,20.128,45.007,19.701,0.991,0.480,48.967,837.000,362.000
333,Along the build_20.tif,6.494,20.701,2.122,2.340,0.791,0.947,7.219,0.191,0.158,6.347,0.472,3.087,3.653,0.397,0.159,201.649,68085.000,130.711,0.845,5.660,19.755,6.494,20.701,5.605,19.755,2.528,0.398,130.624,104.000,363.000
334,Along the build_20.tif,23.396,20.224,1.088,0.871,0.305,1.095,3.533,0.307,0.292,3.428,0.611,1.298,2.754,0.540,0.322,77.790,26265.000,146.976,0.471,22.803,19.755,23.396,20.224,22.803,19.755,1.154,0.337,148.177,419.000,363.000
335,Along the build_20.tif,53.202,19.922,0.381,0.327,0.104,0.850,1.128,1.000,0.744,1.345,0.933,0.468,1.434,0.862,0.833,26.433,8925.000,144.462,0.327,53.007,19.810,53.202,19.922,53.007,19.755,0.421,0.313,149.093,975.000,363.000
336,Along the build_20.tif,8.052,20.302,0.816,0.925,0.317,0.942,3.071,0.422,0.462,2.166,0.725,1.157,2.030,0.679,0.420,80.811,27285.000,131.186,0.570,7.565,19.918,8.052,20.302,7.565,19.864,0.935,0.432,128.749,149.000,365.000
337,Along the build_20.tif,20.687,20.751,1.905,1.959,0.320,0.962,5.624,0.127,0.078,12.776,0.560,2.732,9.639,0.280,0.086,81.566,27540.000,134.193,0.283,19.810,19.918,20.687,20.751,19.810,19.918,2.281,0.179,132.063,364.000,366.000
338,Along the build_20.tif,10.068,20.402,0.490,0.599,0.163,1.609,1.699,0.709,0.533,1.875,0.797,0.658,1.553,0.730,0.556,41.538,14025.000,114.444,0.423,9.905,20.082,10.068,20.402,9.850,20.082,0.624,0.333,124.818,182.000,369.000
339,Along the build_20.tif,33.461,20.532,0.599,0.925,0.148,0.766,2.346,0.338,0.168,5.963,0.719,1.073,4.555,0.410,0.267,37.762,12750.000,120.466,0.236,33.143,20.082,33.461,20.532,33.143,20.082,1.060,0.178,120.297,609.000,369.000
340,Along the build_20.tif,49.059,20.418,0.599,0.653,0.121,1.335,1.834,0.454,0.224,4.460,0.752,0.850,3.682,0.474,0.311,30.965,10455.000,129.806,0.231,48.816,20.082,49.059,20.418,48.762,20.082,0.830,0.186,133.672,897.000,369.000
341,Along the build_20.tif,53.900,20.407,0.490,0.544,0.101,0.850,1.603,0.492,0.345,2.898,0.716,0.697,2.620,0.587,0.378,25.678,8670.000,128.660,0.266,53.660,20.082,53.900,20.407,53.660,20.082,0.610,0.210,135.026,986.000,369.000
342,Along the build_20.tif,32.696,20.577,0.871,0.871,0.323,0.766,2.654,0.576,0.318,3.142,0.820,1.194,2.585,0.564,0.426,82.321,27795.000,133.152,0.462,32.218,20.136,32.696,20.577,32.218,20.136,1.136,0.362,139.729,592.000,370.000
343,Along the build_20.tif,4.352,21.062,1.578,1.524,0.758,1.764,4.738,0.424,0.231,4.322,0.698,1.949,3.085,0.481,0.315,193.342,65280.000,35.910,0.632,3.537,21.551,4.352,21.062,3.537,20.245,2.043,0.473,38.095,90.000,372.000
344,Along the build_20.tif,14.545,21.188,2.014,2.014,0.900,1.259,6.776,0.246,0.232,4.307,0.499,2.592,3.006,0.482,0.222,229.593,77520.000,140.964,0.862,13.442,20.463,14.545,21.188,13.442,20.299,2.222,0.516,133.613,251.000,373.000
345,Along the build_20.tif,25.643,20.758,0.653,0.925,0.299,0.578,2.436,0.633,0.414,2.413,0.818,1.022,2.154,0.644,0.495,76.279,25755.000,115.201,0.475,25.415,20.299,25.643,20.758,25.306,20.299,0.959,0.397,120.040,467.000,373.000
346,Along the build_20.tif,15.784,20.965,1.524,1.687,0.379,1.259,4.828,0.204,0.160,6.267,0.573,2.202,4.589,0.399,0.147,96.671,32640.000,129.987,0.480,15.238,20.354,15.784,20.965,15.129,20.354,1.739,0.278,127.538,280.000,374.000
