 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
183,Along the build_20.tif,12.702,11.639,0.653,0.599,0.139,0.726,2.065,0.410,0.316,3.161,0.712,0.847,2.777,0.562,0.356,35.496,11985.000,135.000,0.305,12.463,11.320,12.702,11.639,12.408,11.320,0.748,0.237,140.866,229.000,208.000
184,Along the build_20.tif,21.831,12.058,0.544,1.252,0.332,1.062,3.108,0.431,0.288,3.472,0.677,1.294,2.711,0.537,0.487,84.587,28560.000,104.621,0.477,21.769,11.374,21.831,12.058,21.605,11.374,1.211,0.349,101.303,400.000,209.000
185,Along the build_20.tif,41.434,11.740,0.871,0.653,0.320,1.081,2.468,0.660,0.483,2.072,0.828,0.999,1.829,0.695,0.562,81.566,27540.000,150.642,0.546,40.980,11.483,41.434,11.740,40.980,11.429,0.919,0.443,146.659,754.000,210.000
186,Along the build_20.tif,13.822,11.794,1.197,0.599,0.252,0.786,3.193,0.310,0.246,4.064,0.688,1.339,3.434,0.496,0.351,64.195,21675.000,153.435,0.390,13.224,11.537,13.822,11.794,13.224,11.537,1.141,0.281,155.327,243.000,212.000
187,Along the build_20.tif,17.458,12.054,0.653,0.816,0.210,1.366,2.410,0.455,0.702,1.425,0.676,0.879,1.568,0.838,0.394,53.622,18105.000,68.199,0.561,17.143,12.408,17.458,12.054,17.143,11.592,0.618,0.433,75.593,320.000,213.000
188,Along the build_20.tif,40.409,12.086,0.490,0.871,0.160,0.994,2.192,0.418,0.285,3.511,0.711,0.950,3.180,0.534,0.375,40.783,13770.000,113.629,0.299,40.218,11.646,40.409,12.086,40.163,11.646,0.846,0.241,118.367,739.000,214.000
189,Along the build_20.tif,47.323,12.988,1.796,2.721,0.678,1.156,7.007,0.174,0.100,10.027,0.583,3.202,6.936,0.316,0.139,172.950,58395.000,121.799,0.462,46.585,11.701,47.323,12.988,46.531,11.701,2.943,0.293,122.552,856.000,215.000
190,Along the build_20.tif,54.221,12.764,1.687,1.796,0.681,1.582,5.475,0.286,0.240,4.168,0.592,2.273,2.954,0.490,0.225,173.705,58650.000,137.911,0.770,53.224,11.701,54.221,12.764,53.224,11.701,1.901,0.456,136.571,978.000,215.000
191,Along the build_20.tif,13.621,12.554,1.088,1.469,0.347,0.786,3.994,0.273,0.165,6.044,0.665,1.736,4.749,0.407,0.217,88.363,29835.000,122.196,0.366,13.224,11.755,13.621,12.554,13.061,11.755,1.633,0.270,127.376,243.000,216.000
192,Along the build_20.tif,31.476,12.146,0.490,0.653,0.136,0.574,2.147,0.371,0.538,1.859,0.597,0.682,1.427,0.734,0.426,34.741,11730.000,118.610,0.478,31.401,11.755,31.476,12.146,31.238,11.755,0.568,0.305,88.194,577.000,216.000
